date,open,high,low,close,Adj Close,volume,rsi
2002-07-25,84.269997,85.849998,81.599998,84.0,56.696732,87176600,32.17
2002-07-26,84.650002,85.93,83.800003,85.599998,57.776669,41206800,36.42
2002-07-29,87.5,90.339996,87.300003,89.769997,60.591263,53492900,45.93
2002-07-30,89.32,91.400002,88.720001,90.940002,61.380936,47532200,48.26
2002-07-31,90.489998,91.550003,89.25,91.160004,61.529449,44669900,48.71
2002-08-01,90.879997,91.349998,88.330002,88.779999,59.923054,66571900,44.24
2002-08-02,88.5,88.910004,85.620003,86.790001,58.579876,51772900,40.86
2002-08-05,86.489998,86.93,83.550003,83.769997,56.541515,47191300,36.33
2002-08-06,85.230003,87.900002,85.110001,86.589996,58.44487,64730000,42.72
2002-08-07,87.870003,88.5,85.769997,88.099998,59.464073,43289400,45.85
2002-08-08,88.419998,91.099998,87.800003,90.949997,61.38768,48339800,51.27
2002-08-09,90.099998,91.940002,89.349998,91.290001,61.617203,41879200,51.89
2002-08-12,89.989998,91.269997,89.550003,90.620003,61.164993,25841700,50.53
2002-08-13,90.150002,91.660004,88.650002,88.970001,60.051277,49690500,47.24
2002-08-14,89.019997,92.629997,88.019997,92.220001,62.244904,57423600,53.64
2002-08-15,92.839996,93.989998,92.199997,93.5,63.108864,45551500,55.91
2002-08-16,92.82,94.080002,92.0,93.220001,62.919888,36517300,55.27
2002-08-19,93.459999,95.75,93.099998,95.400002,64.391289,33669900,59.17
2002-08-20,94.82,95.400002,93.620003,94.389999,63.709579,30508300,56.7
2002-08-21,95.059998,95.779999,93.57,95.75,64.627518,39628900,59.17
2002-08-22,95.489998,97.150002,95.07,96.68,65.255241,38399800,60.82
2002-08-23,96.010002,96.150002,94.150002,94.599998,63.851311,33716400,55.44
2002-08-26,94.910004,95.639999,93.5,95.260002,64.296806,33830100,56.75
2002-08-27,95.699997,96.25,93.5,94.160004,63.554348,35335700,53.91
2002-08-28,93.279999,93.489998,91.800003,92.099998,62.163925,38970600,48.97
2002-08-29,91.269997,93.050003,90.809998,92.139999,62.190937,42965700,49.06
2002-08-30,91.68,93.389999,91.400002,91.779999,61.947933,30366700,48.17
2002-09-03,90.730003,91.0,88.150002,88.279999,59.585533,76586400,40.46
2002-09-04,88.610001,90.25,88.059998,89.540001,60.436012,51099500,43.94
2002-09-05,88.489998,89.43,87.5,88.779999,59.923054,67250900,42.33
2002-09-06,89.75,90.57,89.339996,90.0,60.746498,38622200,45.76
2002-09-09,89.099998,91.349998,88.800003,90.660004,61.191982,33998400,47.58
2002-09-10,91.139999,91.779999,90.559998,91.699997,61.893959,41416600,50.39
2002-09-11,92.470001,93.330002,91.099998,91.129997,61.509212,27711200,48.84
2002-09-12,90.75,90.839996,88.989998,89.449997,60.375286,43601700,44.5
2002-09-13,88.690002,89.900002,88.25,89.669998,60.523762,41131000,45.19
2002-09-16,89.309998,89.889999,88.459999,89.889999,60.672256,28167600,45.91
